solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
R_Assignment_LCW.G_Assignment_Layered,18.751,2.08078,0.960681,0.482832,6.55,1.59797
R_Assignment_LCW.G_Assignment_Layered_CostIncrease,18.138,2.06357,0.96586,0.388997,5.922,1.62901
R_Assignment_LCW.G_Assignment_Layered_PriceAscending,18.751,2.08025,0.960862,0.482324,6.55,1.59701
R_Assignment_LCW.G_Assignment_Simple,17.556,2.09964,0.952528,0.618743,4.069,1.46302
R_Assignment_LCW.G_Assignment_Simple_CostIncrease,17.653,2.06522,0.966209,0.684529,4.056,1.37429
R_Assignment_LCW.G_Assignment_Simple_PriceAscending,17.683,2.06922,0.964334,0.694444,4.083,1.36403
R_Assignment_LSP.G_Assignment_Layered,18.791,1.81856,0.939353,0.351117,5.911,1.85008
R_Assignment_LSP.G_Assignment_Layered_CostIncrease,17.216,1.76277,0.956811,0.370477,4.512,1.6033
R_Assignment_LSP.G_Assignment_Layered_PriceAscending,18.791,1.81813,0.939511,0.355356,5.911,1.84833
R_Assignment_LSP.G_Assignment_Simple,17.496,1.81699,0.937214,0.239174,3.443,1.91081
R_Assignment_LSP.G_Assignment_Simple_CostIncrease,17.253,1.76358,0.956781,0.269396,3.227,1.76841
R_Assignment_LSP.G_Assignment_Simple_PriceAscending,17.274,1.7722,0.9531,0.270365,3.229,1.77794
