solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,average_R_count,max_G_occurrence_rate,max_R_occurrence_rate
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,49.99,1.97475,0.984209,0.301286,1.48051,0.379873,0.378853,
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,49.99,1.97475,0.984209,0.0200041,2.86385,0.379873,0.699939,
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,49.99,1.81605,0.961645,0.161665,1.59869,0.379873,0.421922,
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,49.99,1.81605,0.961645,0.0798122,2.93876,0.379873,0.879976,
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,49.99,1.90878,0.976443,0.300673,1.69994,0.379873,0.281078,
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,49.99,1.90878,0.976443,0.0198,3.92243,0.379873,0.641559,
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,44.99,1.90873,0.978213,0.422091,1.59945,0.155591,0.290091,
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,44.99,1.94513,0.961406,0.133136,2.71059,0.155591,0.644136,
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,44.99,1.84365,0.986795,0.289409,1.64436,0.155591,0.400091,
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,44.99,1.89378,0.961488,0.111136,2.71195,0.155591,0.800182,
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,44.99,1.94078,0.9783,0.355864,1.84509,0.155591,0.288955,
G_Assignment_Random.R_Assignment_Random.Grouping_Random,44.99,1.94483,0.969695,0,3.44318,0.155591,0.599682,
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,49,1.81033,0.98,0.752653,1.16388,0.877755,0.773265,
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,49,1.81033,0.98,0.262857,2.03143,0.877755,0.877755,
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,49,1.76499,0.972222,0.816327,1.24408,0.877755,0.816531,
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,49,1.76499,0.972222,0.408571,1.75469,0.877755,0.877755,
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,49,1.87813,0.957183,0.571837,1.34653,0.877755,0.612653,
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,49,1.87813,0.957183,0.0608163,3.52837,0.877755,0.877755,
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,49,2.12252,0.987903,0.569592,1.26469,0.305102,0.532449,
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,49,2.12252,0.987903,0.165102,2.17571,0.305102,0.81551,
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,45,2.14294,0.978347,0.643333,1.19978,0.333556,0.513111,
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,45,2.16235,0.969998,0.225111,1.88244,0.333556,0.755556,
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,49,2.11882,0.987903,0.776939,1.16245,0.511837,0.491837,
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,49,2.11882,0.987903,0.311224,1.72918,0.511837,0.532245,
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,49,1.69816,0.972222,0.407959,1.2651,0.367143,0.836939,
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,49,1.69816,0.972222,0.346939,1.43061,0.367143,0.918776,
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,45,1.66174,0.986842,0.489111,1.156,0.444444,0.889111,
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,45,1.68567,0.978177,0.444444,1.70978,0.444444,1,
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,49,1.69707,0.972222,0.877755,1.20367,0.816327,0.857143,
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,49,1.69707,0.972222,0.795918,1.2649,0.816327,0.857347,
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,49.01,1.9315,0.972266,0.163433,1.79536,0.306661,0.265053,
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,49.01,1.9315,0.972266,0.0204041,4.24545,0.306661,0.714343,
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,46,1.90591,0.982906,0.238913,1.95696,0.173696,0.304565,
R_Assignment_Random.G_Assignment_Random.Grouping_Random,46,1.93842,0.966306,0,3.9563,0.173696,0.717826,
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,47,1.89432,0.979086,0.234255,1.4034,0.744255,0.233617,
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,47,1.89432,0.979086,0.000212766,4.72298,0.744255,0.723404,
