solutionName,sessionCount,serverCost,serverUtilization
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,50,2.09884,0.984175
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,50,2.09884,0.984175
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,50,1.83618,0.961538
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,50,1.83618,0.961538
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,50,1.99907,0.961689
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,50,1.99907,0.961689
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,44.99,2.19177,0.978388
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,44.99,2.1935,0.969695
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,44.99,2.04079,0.969864
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,44.99,2.04987,0.961572
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,44.99,2.15307,0.961658
G_Assignment_Random.R_Assignment_Random.Grouping_Random,44.99,2.15984,0.953421
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,49,1.82671,0.972379
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,49,1.82671,0.972379
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,49,1.8139,0.964721
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,49,1.8139,0.964721
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,49,1.9374,0.972222
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,49,1.9374,0.972222
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,49.99,2.33639,0.992102
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,49.99,2.33639,0.992102
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,44.01,2.38867,0.973499
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,44.01,2.36787,0.98219
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,47.99,2.34404,0.99161
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,47.99,2.34404,0.99161
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,49,1.75178,0.957183
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,49,1.75178,0.957183
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,45.99,1.69071,0.974529
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,45.99,1.69185,0.974529
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,48,1.7054,0.97569
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,48,1.7054,0.97569
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,50,2.09582,0.968992
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,50,2.09582,0.968992
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,46.97,2.12484,0.963305
R_Assignment_Random.G_Assignment_Random.Grouping_Random,46.97,2.08674,0.971013
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,47.01,2.09965,0.96324
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,47.01,2.09965,0.96324
