solutionName,sessionCount,serverCost,serverUtilization
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,45.02,1.95837,0.96976
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,45.02,1.82585,0.961634
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,45.02,1.96127,0.978189
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,44.01,2.15132,0.973415
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,44.01,2.01747,0.964797
G_Assignment_Random.R_Assignment_Random.Grouping_Random,44.01,2.15482,0.95649
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,46,1.77424,0.991211
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,46,1.7879,0.974576
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,46,1.98824,0.966387
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,46.97,2.36022,0.987256
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,43.02,2.38865,0.977283
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,44.99,2.36624,0.986708
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,44.01,1.75468,0.956739
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,44.01,1.69443,0.973415
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,44.01,1.74422,0.956825
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,45.02,2.04544,0.978109
R_Assignment_Random.G_Assignment_Random.Grouping_Random,44.01,2.0673,0.964879
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,43,2.05123,0.968646
