Column1,Column2,Column3
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,1.95,2.44E-15
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,1.99668,0.0217403
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,2.0514,0.00679401
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,2.06691,0.000923917
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,2.17571,0.00377266
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,2.22366,0.00571641
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,2.23906,0.0852895
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,2.29902,0.0207106
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,2.35692,0.0132919
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,2.39792,0.0859109
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,2.39875,0.0707854
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,2.48103,0.00474463
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,2.53408,0.00326384
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,2.5441,0.0360533
G_Assignment_Random.R_Assignment_Random.Grouping_Random,2.56952,0.0523773
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,2.56968,0.0132269
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,2.60422,0.00894034
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,2.62387,0.0705739
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,2.66692,0.00142865
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,2.67597,0.0640139
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,2.68704,0.0275663
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,2.71983,0.0234006
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,2.72316,0.0605956
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,2.79753,0.0972484
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,2.96475,0.00958248
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,2.99606,5.69E-05
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,3.10296,0.0233801
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,3.24754,0.0179909
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,3.31733,0.0773985
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,3.34017,0.0526347
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,3.50557,0.0145423
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,3.538,0.0176209
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,3.63603,0.0135208
R_Assignment_Random.G_Assignment_Random.Grouping_Random,3.65349,0.0319251
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,4.03289,0.0418008
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,4.24385,9.86E-05
