G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,2.83,0.375633
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,2.87,0.336303
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,2.5,0.5
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,2.59,0.491833
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,2.56,0.496387
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,2.56,0.496387
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,0.48,0.4996
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,0.46,0.498397
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,0.1,0.3
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,0.15,0.357071
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,0.1,0.3
G_Assignment_Random.R_Assignment_Random.Grouping_Random,0.07,0.255147
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,0.55,0.497494
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,0.62,0.485386
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,0.28,0.448999
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,0.25,0.433013
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,0.29,0.453762
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,0.25,0.433013
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,2.36,0.48
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,2.28,0.448999
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,0.41,0.491833
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,0.31,0.462493
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,0.69,0.462493
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,0.58,0.493559
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,2.75,0.433013
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,2.71,0.453762
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,0.14,0.346987
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,0.15,0.357071
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,0.57,0.495076
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,0.52,0.4996
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,3.27,0.443959
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,3.28,0.448999
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,0.11,0.31289
R_Assignment_Random.G_Assignment_Random.Grouping_Random,0.13,0.336303
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,0.58,0.493559
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,0.62,0.485386
