G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,0.28,0.448999
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,0.38,0.485386
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,0.35,0.47697
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,0.26,0.438634
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,0.34,0.473709
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,0.31,0.462493
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,0.09,0.286182
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,0.09,0.286182
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,0.08,0.271293
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,0,0
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,0.04,0.195959
G_Assignment_Random.R_Assignment_Random.Grouping_Random,0.02,0.14
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,0.1,0.3
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,0.06,0.237487
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,0.04,0.195959
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,0.08,0.271293
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,0.07,0.255147
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,0.02,0.14
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,0.29,0.453762
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,0.23,0.420833
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,0.08,0.271293
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,0.02,0.14
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,0.07,0.255147
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,0.07,0.255147
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,0.31,0.462493
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,0.25,0.433013
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,0.04,0.195959
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,0.02,0.14
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,0.09,0.286182
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,0.08,0.271293
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,0.29,0.453762
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,0.46,0.498397
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,0.03,0.170587
R_Assignment_Random.G_Assignment_Random.Grouping_Random,0.04,0.195959
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,0.03,0.170587
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,0.1,0.3
